Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2024-01-01,"Banco Promérica, S.A.",7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,0.0
2024-01-01,"Banco Promérica, S.A.",7112,Pérdidas por deterioro de activos financieros,Costo,0.0
2024-01-01,"Banco Promérica, S.A.",7113,Pérdida por venta de inversiones financieras,Costo,0.0
2024-01-01,"Banco Promérica, S.A.",7114,Otros costos financieros,Costo,147.32205
2024-01-01,"Banco Promérica, S.A.",7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,2836.74646
2024-01-01,"Banco Promérica, S.A.",713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2024-01-01,"Banco Promérica, S.A.",72,Costos de otras operaciones,Costo,427.50093
2024-01-01,"Banco Promérica, S.A.",7210,Comisiones de otros servicios,Costo,389.43947
2024-01-01,"Banco Promérica, S.A.",7211,Pérdidas generadas por entidades registradas bajo el método de la participación,Costo,0.0
2024-01-01,"Banco Promérica, S.A.",7212,Pérdidas por operaciones en moneda extranjera,Costo,0.0
2024-01-01,"Banco Promérica, S.A.",7213,Pérdida por importes ineficaces en operaciones de cobertura,Costo,0.0
2024-01-01,"Banco Promérica, S.A.",7214,Pérdida por deterioro de valor de activos,Costo,28.58162
2024-01-01,"Banco Promérica, S.A.",7215,Pérdida en venta de activos,Costo,4.13356
2024-01-01,"Banco Promérica, S.A.",7299,Costos por explotación de activos,Costo,5.34628
2024-01-01,"Banco Promérica, S.A.",81,Gastos de administración,Gasto,4767.60099
2024-01-01,"Banco Promérica, S.A.",8110,Gastos de funcionarios y empleados,Gasto,1981.50934
2024-01-01,"Banco Promérica, S.A.",8120,Gastos generales,Gasto,2015.80854
2024-01-01,"Banco Promérica, S.A.",8130,Depreciaciones y amortizaciones,Gasto,345.25259
2024-01-01,"Banco Promérica, S.A.",8140,Provisiones,Gasto,0.0
2024-01-01,"Banco Promérica, S.A.",8150,Gasto por impuesto sobre las ganancias,Gasto,425.03052
2024-01-01,"Banco de América Central, S.A.",61,Ingresos financieros,Ingreso,25294.08661
2024-01-01,"Banco de América Central, S.A.",6110,Ingresos financieros,Ingreso,25292.72076
