Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Abril de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"13,814.68","11,305.75","11,950.67",437.49,26.00,0.00,"7,953.25",0.00,197.77,"39,627.56",0.00,328.42,0.00,0.00,"85,641.60"
5120 Contingencias por avales y fianzas,"135,546.25","47,057.19","88,702.85","14,221.11","9,106.76","6,383.48","3,227.68","9,502.96","123,680.91","70,790.97",0.00,"17,009.56",0.00,"3,113.67","528,343.40"
5131 Compromisos por operaciones en moneda extranjera,"4,087.01",0.00,0.00,0.00,48.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,135.06"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"153,447.94","58,362.94","100,653.52","14,658.61","9,180.81","6,383.48","11,180.93","9,502.96","123,878.69","110,418.53",0.00,"17,337.98",0.00,"3,113.67","618,120.06"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,508,998.02","1,821,967.66","3,002,656.52","1,181,759.55","308,178.21","423,998.11","414,633.96","1,292,909.61","2,112,820.58","2,898,917.84","79,806.85","417,161.70","486,374.25","675,373.23","20,625,556.08"
 ,,,,,,,,,,,,,,,
"1/ Mediante Escritura de Modificación al Pacto Social inscrita el 21 de agosto de 2019, Banco Azteca El Salvador, S. A. cambió su razón social a Banco Abank, S. A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
