Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Mayo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"19,772.71","24,780.70","6,849.52",143.13,0.00,0.00,0.00,"33,352.03",0.00,"1,218.42","2,887.05",0.00,"89,003.57"
5120 Contingencias por avales y fianzas,"84,605.48","81,756.23","112,597.79","18,095.48","5,313.04","5,716.45","10,526.09","109,287.60",0.00,"19,658.73","1,935.10","6,664.44","456,156.43"
5131 Compromisos por operaciones en moneda extranjera,"7,613.84",0.00,0.00,0.00,39.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,653.81"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"111,992.03","106,536.93","119,447.31","18,238.61","5,353.01","5,716.45","10,526.09","142,639.63",0.00,"20,877.15","4,822.15","6,664.44","552,813.81"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,774,650.17","4,060,158.42","3,166,863.05","2,060,925.57","260,801.36","469,170.86","1,335,614.30","3,325,418.06","160,038.80","617,383.89","828,766.23","1,081,529.99","23,141,320.70"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
